col_0,col_1,col_2,col_3,col_4,col_5
1,20,12,5,5,2
1,20,14,11,1,2
1,21,24,15,6,3
1,21,16,9,5,2
1,21,15,10,4,1
2,21,15,6,7,2
1,20,3,3,0,0
1,21,2,1,1,0
1,21,35,23,10,2
1,20,13,6,5,2
1,21,24,19,4,1
2,18,23,12,7,4
2,18,16,6,9,1
2,21,22,12,6,4
1,32,8,4,4,0
2,42,25,13,8,4
2,69,21,12,8,1
2,19,14,9,2,3
2,21,15,8,6,1
1,35,6,3,2,1
2,19,18,13,3,2
2,23,13,8,3,2
2,25,23,11,9,3
2,21,6,6,0,0
2,23,20,8,8,4
2,27,19,12,3,4
2,24,17,13,2,2
2,28,21,12,6,3
2,18,14,7,5,2
2,22,27,14,9,4
2,18,28,15,9,4
2,19,14,10,2,2
2,19,28,16,9,3
2,19,26,14,8,4
1,22,3,0,2,1
1,21,14,3,8,3
1,20,17,10,5,2
1,20,8,4,2,2
1,22,5,5,0,0
2,45,1,1,0,0
1,20,25,18,4,3
1,21,44,21,14,9
1,20,10,3,6,1
1,22,4,2,0,2
1,22,18,18,0,0
1,21,8,3,4,1
1,20,17,9,5,3
1,22,5,2,2,1
1,22,7,4,2,1
1,20,16,8,7,1
1,20,14,10,4,0
1,22,9,7,2,0
1,22,9,4,3,2
1,22,9,6,2,1
1,20,12,6,6,0
1,21,8,4,4,0
1,22,20,10,9,1
1,22,3,0,2,1
1,22,10,8,1,1
1,22,23,15,6,2
1,23,19,14,4,1
1,21,7,3,2,2
1,24,4,2,1,1
1,20,8,6,2,0
1,22,8,6,1,1
1,35,26,19,6,1
1,21,10,5,4,1
1,19,3,3,0,0
2,17,15,11,3,1
1,19,12,7,5,0
2,17,26,10,10,6
1,16,11,4,4,3
1,30,0,0,0,0
2,17,13,4,6,3
1,16,23,15,6,2
2,17,16,10,6,0
2,17,6,2,3,1
2,17,29,19,10,0
1,16,4,2,2,0
2,21,15,10,4,1
2,20,14,8,4,2
2,17,21,9,8,4
1,53,13,4,7,2
1,16,14,5,7,2
1,20,1,0,0,1
2,20,13,7,5,1
1,17,25,16,6,3
1,17,22,15,5,2
1,17,3,3,0,0
2,21,30,17,8,5
1,23,9,5,3,1
1,16,5,4,0,1
2,21,11,5,5,1
1,17,11,8,3,0
2,21,17,13,3,1
1,17,11,2,7,2
2,22,11,6,4,1
2,21,10,5,4,1
1,16,7,5,2,0
1,16,16,7,7,2
1,16,19,10,7,2
1,17,21,8,8,5
2,24,11,5,4,2
2,26,12,9,1,2
2,21,43,24,13,6
1,22,17,12,4,1
2,22,20,7,9,4
2,21,17,12,5,0
1,17,27,17,8,2
1,18,13,6,5,2
1,34,32,20,10,2
1,22,36,21,9,6
2,38,0,0,0,0
2,16,29,14,11,4
2,21,15,7,5,3
2,34,16,9,5,2
1,17,17,15,2,0
1,35,11,7,3,1
2,33,9,5,4,0
2,43,19,15,3,1
2,32,10,10,0,0
2,33,23,16,5,2
2,38,14,6,6,2
1,18,28,17,7,4
2,20,26,15,7,4
2,36,10,8,1,1
2,29,34,21,10,3
2,19,22,9,8,5
2,37,20,11,8,1
2,39,10,5,5,0
2,21,21,10,9,2
2,21,9,4,4,1
